item_id,sku_code,category_id_array,category_product,product_name,category_name,brand_name,sale_price,list_price,discount_percentage,average_rating,total_reviews,sold_quantity,estimated_revenue,shop_name,shop_location
2895810187,2895810187_VNAMZ,"[""4405"",""4948"",""10100738""]",10100738,[DERMALOGICA] Bộ quà tặng bất ngờ 24 ngày ADVENT CALENDAR( 24-day) cho làn da khỏe mạnh và rạng rỡ tiết kiệm lên đến 44% - Skincare,skincare,Dermalogica,8000000,14185000,44,0,0,0,0,Dolly Beauty - Dermalogica VN,Vietnam
2439985314,2439985314_VNAMZ,"[""4405"",""2277"",""2283""]",2283,Chính hãng 100 GÓI SERUM VI TẢO BIỂN SNOWGRIL DƯỠNG DA THÁI LAN,skincare,No Brand,6168162,0,0,0,0,0,0,Applause905,Vietnam
3140890953,3140890953_VNAMZ,"[""4405"",""4948"",""10100738""]",10100738,Bộ 3 Sản Phẩm Chăm Sóc Da Làm Sáng Tông Màu Da LAIKOU,skincare,Laikou,40500,52700,23,0,17,2168,87804000,LAIKOU.Selection,Vietnam
1644345228,1644345228_VNAMZ,"[""4405"",""2277"",""10100737""]",10100737,LAIKOU Sakura Extract Face Cream + Face Serum Reduce Wrinkles Fine Lines Anti-aging Brightening Firming Skin Care,skincare,Laikou,109000,180000,39,4.9,94,292,31828000,LAIKOU Official Store,China
3230999272,3230999272_VNAMZ,"[""4405"",""2277"",""2283""]",2283,Calming Hydrating Essence,skincare,No Brand,309000,1510000,80,4.8,6,0,0,rataplan,China
1722600671,1722600671_VNAMZ,"[""4405"",""2277"",""2283""]",2283,[Cam Kết Chính Hãng ] Mỹ Phẩm BACH HOA HONG  100ml,skincare,No Brand,179000,0,0,4.6,43,352,63008000,Bách Hóa BK Shop,Vietnam
2823236125,2823236125_VNAMZ,"[""4405"",""2277"",""2283""]",2283,[Hàng tặng không bán - HB Gift] Tinh chất Serum mờ nám sáng da AHC PRO SHOT GLUTA-CTIVATION BRIGHT 3 10ML,skincare,AHC,10000000,0,0,5,71,349,3490000000,AHC,Vietnam
2658538107,2658538107_VNAMZ,"[""4405"",""2277"",""2283""]",2283,The Ordinary Niacinamide 10% + Zinc 1%,skincare,The Ordinary,148000,290000,49,4.9,269,1383,204684000,The Ordinary ,Vietnam
2439915699,2439915699_VNAMZ,"[""4405"",""2277"",""2283""]",2283,Chính hãng 50 HỘP 6 GÓI SERUM VI TẢO BIỂN SNOWGRIL,skincare,No Brand,18933915,0,0,0,0,0,0,Applause905,Vietnam
3171405720,3171405720_VNAMZ,"[""4405"",""2277"",""2283""]",2283,Serum trị mụn Lumos,skincare,No Brand,83695,0,0,0,0,13,1088035,SHOP QUẦN ÁO MỸ PHẨM HOT 898,Vietnam
3244227527,3244227527_VNAMZ,"[""4405"",""2277"",""2283""]",2283,Post-Acne Redness Reducing Essence,skincare,No Brand,4123000,0,0,4.9,33,0,0,DR.WU,China
3236705229,3236705229_VNAMZ,"[""4405"",""2277"",""2283""]",2283,Helena Rubinstein Powercell Skinmunity Deep Regenerating Essence 50ml,skincare,No Brand,5469171,0,0,0,0,0,0,asiadutyfree-kbeauty,China
3228183736,3228183736_VNAMZ,"[""4405"",""2277"",""2283""]",2283,"KEM DƯỠNG CẤP ẨM & PHỤC HỒI DA HIỆU QUẢ DR. ALTHEA REJU 5000 (PDRN 5,000PPM) CREAM 20G HÀN QUỐC - 19451 - SẢN PHẨM ĐƯỢC YÊU THÍCH TRÊN THỊ TRƯỜNG HIỆN NAY, DÙNG RẤT TỐT LUÔN Ạ, DÙNG RẤT THÍCH, KHÁCH YÊU TRẢI NGHIỆM ỦNG HỘ",skincare,OEM,689900,0,0,0,0,0,0,VƯƠNG LÂM BEAUTY SPA CLINIC,Vietnam
3206223357,3206223357_VNAMZ,"[""4405"",""2277"",""2288""]",2288,Pozitilan | Anti-Yellow Brightening Tightening Anti-Wrinkle Anti-Oxidant Moisturizing Skincare Set,skincare,Pozitilan,565000,1049000,46,4.9,373,0,0,POZTL,China
3247769479,3247769479_VNAMZ,"[""4405"",""2277"",""2283""]",2283,The Ordinary | The Ordinary Niacinamide 10% + Zinc 1% 30ml (Ad),skincare,The Ordinary,344400,746000,54,0,0,0,0,Gmarket Korea,South Korea
3061590037,3061590037_VNAMZ,"[""4405"",""2277"",""2283""]",2283,"Kem Xóa Nhăn GOLD COLLAGEN – GOLD COLLAGEN Hỗ Trợ Giảm Nếp Nhăn, Cải Thiện Độ Săn Chắc, Giúp Da Căng Bóng",skincare,OEM,139000,210000,34,5,5,6,834000,VC Store,Vietnam
3081368250,3081368250_VNAMZ,"[""4405"",""2277"",""2283""]",2283,Làm trắng vĩnh viễn Kem làm trắng da mặt Kem dưỡng ẩm tối ưu Kem làm mờ vết thâm làm trắng da Serum xóa vết thâm làm sáng da giảm đốm tàn nhang Kem dưỡng da mặt,skincare,No Brand,100000,0,0,4.9,63,160,16000000,ngôi sao thẩm mỹ viện,Vietnam
1298414912,1298414912_VNAMZ,"[""4405"",""2277"",""2283""]",2283,KEM FACE TRẰNG HỒNG HM STORE,skincare,No Brand,260000,380000,32,5,13,96,24960000,PhucDoan Shop(2),Vietnam
1831930497,1831930497_VNAMZ,"[""4405"",""2277"",""2283""]",2283,Kem dưỡng trắng da - chống nắng Bạch Hoa Hồng 15g - 8936090320051,skincare,Bạch hoa hồng,199000,0,0,5,8,96,19104000,Mỹ Phẩm Phú,Vietnam
455426552,455426552_VNAMZ,"[""4405"",""2277"",""2283""]",2283,Imports-cream pennywort goodndoc Centella Repair Cream moisturizing repair reduction intensive lightening brightening anti aging skin-duocmyphamdran,skincare,GoodnDoc,368000,699000,47,5,503,1933,711344000,DuocmyphamDrAn,Vietnam
618668965,618668965_VNAMZ,"[""4405"",""2277"",""2283""]",2283,[HCM][Hàng chính hãng] Bộ dưỡng tái sinh chống lão hóa Whoo Cheonyuldan Ultimate Regenerating Set 4pcs 68ml,skincare,THE WHOO,520000,1000000,48,4.9,22,93,48360000,Mercy Cosmetics,Vietnam
3198588604,3198588604_VNAMZ,"[""4405"",""2277"",""2283""]",2283,Oxyx Skin Care Essence (1 Tube),skincare,No Brand,880000,0,0,0,0,0,0,Vật Tư Tâm An,Vietnam
3202432402,3202432402_VNAMZ,"[""4405"",""2277"",""2283""]",2283,"Vichy Liftactiv Collagen Specialist Day and Night Cream Combo Antioxidant, Anti-Aging & Firming – 10Ml/50Ml",skincare,Vichy,175000,350000,50,4,1,8,1400000,Alpha Pharmacy,Vietnam
2744068314,2744068314_VNAMZ,"[""4405"",""2277"",""2283""]",2283,Bibala Skin Barrier Calming Cream Bibala Soothing and Moisturizing Cream,skincare,BIBALA,380000,400000,5,5,197,681,258780000,BIBALA,Vietnam
1188164420,1188164420_VNAMZ,"[""4405"",""2277"",""2283""]",2283,"Lố 24 Hộp Kem Sâm Cô Tiên Thái Lan Trắng Da, Xóa Nám Tàn Nhang",skincare,No Brand,260000,300000,13,4.8,32,280,72800000,Shop Ngọc Xinh Cosmetic,Vietnam
3218308011,3218308011_VNAMZ,"[""4405"",""2277"",""2283""]",2283,Qutem Lifting Cream 65ml Jas Blemish Cream 15ml x2 Skincare Cosmetic Products,skincare,No Brand,722970,1080000,33,0,0,0,0,Gmarket Korea,South Korea
3243359810,3243359810_VNAMZ,"[""4405"",""2277"",""2283""]",2283,Allergan 100 Botox Serum,skincare,No Brand,550000,0,0,5,1,4,2200000,Sỉ Lẻ Filler Botox Korea,Vietnam
2423196926,2423196926_VNAMZ,"[""4405"",""2277"",""2283""]",2283,"[HÀNG CÔNG TY] Serum LUMA NANO DARK SPOT REMOVER with Gold Nano Serum Làm Sáng Da, Mờ Thâm Nám, Đốm Nâu, Tàn Nhang",skincare,No Brand,1596000,0,0,0,0,2,3192000,tuyeulayminh.com,Vietnam
3199397654,3199397654_VNAMZ,"[""4405"",""2277"",""2283""]",2283,Goodal | Paeonia Peptide Anti-Wrinkle Ampoule 50ml Essence Serum Skincare Product,skincare,Goodal,667290,998000,33,0,0,3,2001870,Gmarket Korea,South Korea
3204948579,3204948579_VNAMZ,"[""4405"",""2277"",""2283""]",2283,OSM | Calm & Brightening Essence 30 Singles,skincare,OSM,478000,1014000,53,4.8,10,0,0,SANFU selected,China
3037270595,3037270595_VNAMZ,"[""4405"",""2277"",""2283""]",2283,Victory kem dưỡng trắng da ngọc trai 25g,skincare,Victory,49000,0,0,5,2,24,1176000,Ka minishop,Vietnam
805228987,805228987_VNAMZ,"[""4405"",""2277"",""2283""]",2283,[Chính Hãng] Cao mụn sâm đỏ 36 vị hủ 15g,skincare,No Brand,299999,400000,25,4.7,149,804,241199196,Chuyên sỉ lẻ Tăng Giảm cân,Vietnam
